Day,Time,Value
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,4918.190089312
1,11,7650.710234841
1,12,8506.783079256
1,13,7162.841817853
1,14,8672.726029884
1,15,6890.035169872
1,16,6781.8574692
1,17,5090.339845947
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,3756.149070812
2,11,2291.130240164
2,12,5530.266761042
2,13,3905.172066979
2,14,4836.326920999
2,15,2620.573568544
2,16,3337.283304646
2,17,3521.053737161
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
2,23,0
2,24,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,2289.845530315
3,11,4692.553689406
3,12,3609.378114801
3,13,5376.397756386
3,14,2703.70909079
3,15,2992.087266902
3,16,3992.564639565
3,17,2196.695411904
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
3,23,0
3,24,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,824.778703169
4,11,1451.843829677
4,12,2052.318199614
4,13,1729.488117278
4,14,1891.32794922
4,15,909.718366658
4,16,1172.536751293
4,17,939.147605415
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
4,24,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,1205.373628389
5,11,620.877048662
5,12,845.019009482
5,13,2264.402356922
5,14,1410.699592749
5,15,843.344263374
5,16,1753.54796617
5,17,358.991770263
5,18,0
5,19,0
5,20,0
5,21,0
5,22,0
5,23,0
5,24,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,4329.717631035
6,10,4956.661190979
6,11,5995.599573061
6,12,6891.085895881
6,13,7590.872502659
6,14,5957.825311394
6,15,7504.952180891
6,16,6626.825586548
6,17,4768.276877498
6,18,4676.050239028
6,19,0
6,20,0
6,21,0
6,22,0
6,23,0
6,24,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,2517.025237188
7,10,3705.316631927
7,11,4677.861872994
7,12,4501.305921522
7,13,5388.380627687
7,14,4428.368452406
7,15,4159.388222251
7,16,3075.395860631
7,17,1893.987266454
7,18,2486.049227446
7,19,0
7,20,0
7,21,0
7,22,0
7,23,0
7,24,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0
8,8,0
8,9,188.596989974
8,10,1095.990027526
8,11,70.069742253
8,12,1510.879626538
8,13,1772.189111886
8,14,1905.623229834
8,15,1101.330853416
8,16,717.181181559
8,17,1603.316445817
8,18,464.178584801
8,19,0
8,20,0
8,21,0
8,22,0
8,23,0
8,24,0
9,1,0
9,2,0
9,3,0
9,4,0
9,5,0
9,6,0
9,7,0
9,8,0
9,9,1116.253179716
9,10,1017.751850872
9,11,1573.179821565
9,12,1702.049550409
9,13,2260.298536839
9,14,1217.598910386
9,15,84.696846601
9,16,912.085573876
9,17,1438.004257553
9,18,1177.593676961
9,19,0
9,20,0
9,21,0
9,22,0
9,23,0
9,24,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0
10,9,6601.150206578
10,10,6261.888113488
10,11,7722.31494047
10,12,7217.558370433
10,13,7853.543134417
10,14,9656.200248625
10,15,8234.020714851
10,16,8211.679252115
10,17,7200.258487659
10,18,5971.461073826
10,19,5637.058943073
10,20,0
10,21,0
10,22,0
10,23,0
10,24,0
11,1,0
11,2,0
11,3,0
11,4,0
11,5,0
11,6,0
11,7,0
11,8,0
11,9,6168.41891238
11,10,4812.933224049
11,11,7434.741070014
11,12,7110.722270616
11,13,7954.428336048
11,14,8399.804100694
11,15,5869.374108843
11,16,5259.937806623
11,17,5686.566026483
11,18,5327.58860877
11,19,4597.345507296
11,20,0
11,21,0
11,22,0
11,23,0
11,24,0
12,1,0
12,2,0
12,3,0
12,4,0
12,5,0
12,6,0
12,7,0
12,8,0
12,9,4051.064640122
12,10,3909.524274566
12,11,4680.859416433
12,12,2687.610271047
12,13,2774.495437345
12,14,4943.477615153
12,15,3260.331915932
12,16,1959.862973189
12,17,2620.760033757
12,18,1805.614731281
12,19,1810.952683225
12,20,0
12,21,0
12,22,0
12,23,0
12,24,0
13,1,0
13,2,0
13,3,0
13,4,0
13,5,0
13,6,0
13,7,0
13,8,0
13,9,1395.038664907
13,10,1446.795181933
13,11,812.18944751
13,12,778.297638533
13,13,677.732476242
13,14,396.345715351
13,15,1032.490121613
13,16,1532.987016568
13,17,547.885885795
13,18,997.499967755
13,19,759.994162557
13,20,0
13,21,0
13,22,0
13,23,0
13,24,0
14,1,0
14,2,0
14,3,0
14,4,0
14,5,0
14,6,0
14,7,0
14,8,6750.390172106
14,9,6640.045754472
14,10,6600.790731785
14,11,6423.623602293
14,12,6726.41899441
14,13,7504.042819222
14,14,8783.472916776
14,15,8531.439269601
14,16,8630.852662397
14,17,7797.475050289
14,18,6774.962885225
14,19,5880.938022164
14,20,4176.879851649
14,21,3390.760613845
14,22,0
14,23,0
14,24,0
15,1,0
15,2,0
15,3,0
15,4,0
15,5,0
15,6,0
15,7,0
15,8,5683.334487388
15,9,6492.063036779
15,10,5478.383548735
15,11,6827.920834249
15,12,5781.752742797
15,13,7700.451724793
15,14,5687.540350393
15,15,6557.150657595
15,16,4998.124895567
15,17,4327.082753474
15,18,3762.496718437
15,19,4144.815124067
15,20,2928.105543878
15,21,3193.778851018
15,22,0
15,23,0
15,24,0
16,1,0
16,2,0
16,3,0
16,4,0
16,5,0
16,6,0
16,7,0
16,8,2463.793209341
16,9,3266.605909357
16,10,3605.806238699
16,11,4440.508005436
16,12,2912.218353816
16,13,2902.205108329
16,14,4287.150896371
16,15,4689.266633683
16,16,2482.247676925
16,17,2153.071186649
16,18,2936.15726504
16,19,1275.67629639
16,20,2013.673102112
16,21,1650.098974718
16,22,0
16,23,0
16,24,0
17,1,0
17,2,0
17,3,0
17,4,0
17,5,0
17,6,0
17,7,0
17,8,397.253464959
17,9,1191.27870045
17,10,1546.935112941
17,11,651.973715545
17,12,1229.392991827
17,13,1333.740421298
17,14,1086.704219414
17,15,888.758695821
17,16,1091.215864238
17,17,1214.660637218
17,18,766.764295219
17,19,869.675832827
17,20,998.173759563
17,21,356.459316045
17,22,0
17,23,0
17,24,0
18,1,0
18,2,0
18,3,0
18,4,0
18,5,0
18,6,0
18,7,0
18,8,544.296112908
18,9,185.347153504
18,10,391.0053499
18,11,994.293885778
18,12,78.818303052
18,13,2170.545485912
18,14,29.401140762
18,15,189.949762741
18,16,394.066640995
18,17,1607.275562772
18,18,1398.044134082
18,19,1158.19930958
18,20,115.784042078
18,21,239.85471406
18,22,0
18,23,0
18,24,0
