Day,Time,Value
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,2528.68493328
2,13,654.29278143
2,14,1711.882476554
2,15,13.720616516
2,16,464.616637979
2,17,648.387070495
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
2,23,0
2,24,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,0
3,11,2025.88702274
3,12,942.711448134
3,13,2542.263021228
3,14,257.505491544
3,15,325.420600235
3,16,913.897972898
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
3,23,0
3,24,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
4,11,0
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
4,24,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0
5,13,226.075677451
5,14,0
5,15,0
5,16,0
5,17,0
5,18,0
5,19,0
5,20,0
5,21,0
5,22,0
5,23,0
5,24,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,444.006980753
6,10,1053.994524312
6,11,2092.932906395
6,12,2988.419229214
6,13,3688.205835992
6,14,2055.158644728
6,15,3602.285514224
6,16,2724.158919882
6,17,865.610210831
6,18,773.383572361
6,19,0
6,20,0
6,21,0
6,22,0
6,23,0
6,24,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
7,10,1038.649965261
7,11,2011.195206327
7,12,1834.639254856
7,13,2721.71396102
7,14,1761.70178574
7,15,1492.721555584
7,16,408.729193964
7,17,0
7,18,0
7,19,0
7,20,0
7,21,0
7,22,0
7,23,0
7,24,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
8,10,0
8,11,0
8,12,0
8,13,0
8,14,0
8,15,0
8,16,0
8,17,0
8,18,0
8,19,0
8,20,0
8,21,0
8,22,0
8,23,0
8,24,0
9,1,0
9,2,0
9,3,0
9,4,0
9,5,0
9,6,0
9,7,0
9,8,0
9,9,0
9,10,0
9,11,0
9,12,0
9,13,0
9,14,0
9,15,0
9,16,0
9,17,0
9,18,0
9,19,0
9,20,0
9,21,0
9,22,0
9,23,0
9,24,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0
10,9,2698.483539912
10,10,2359.221446821
10,11,3819.648273803
10,12,3314.891703766
10,13,3950.87646775
10,14,5753.533581958
10,15,4889.603401784
10,16,4466.670285739
10,17,4414.129368185
10,18,3304.794407159
10,19,2970.392276406
10,20,0
10,21,0
10,22,0
10,23,0
10,24,0
11,1,0
11,2,0
11,3,0
11,4,0
11,5,0
11,6,0
11,7,0
11,8,0
11,9,3295.693423538
11,10,2146.266557383
11,11,3675.377086501
11,12,3208.05560395
11,13,4051.761669381
11,14,4852.665366625
11,15,3202.707442176
11,16,2593.271139957
11,17,3019.899359817
11,18,2660.921942103
11,19,1930.67884063
11,20,0
11,21,0
11,22,0
11,23,0
11,24,0
12,1,0
12,2,0
12,3,0
12,4,0
12,5,0
12,6,0
12,7,0
12,8,0
12,9,1964.341372595
12,10,3624.264967193
12,11,2014.192749766
12,12,637.248470653
12,13,946.079493583
12,14,2276.810948487
12,15,593.665249265
12,16,0
12,17,0
12,18,0
12,19,0
12,20,0
12,21,0
12,22,0
12,23,0
12,24,0
13,1,0
13,2,0
13,3,0
13,4,0
13,5,0
13,6,0
13,7,0
13,8,0
13,9,0
13,10,0
13,11,0
13,12,0
13,13,0
13,14,0
13,15,0
13,16,0
13,17,0
13,18,0
13,19,0
13,20,0
13,21,0
13,22,0
13,23,0
13,24,0
14,1,0
14,2,0
14,3,0
14,4,0
14,5,0
14,6,0
14,7,0
14,8,3347.173484907
14,9,2737.379087805
14,10,2698.124065118
14,11,2520.956935626
14,12,2823.752327744
14,13,3601.376152555
14,14,4880.80625011
14,15,4708.363979135
14,16,4728.185995731
14,17,4551.417513418
14,18,4100.154417415
14,19,3923.376230763
14,20,1510.213184982
14,21,1960.093947179
14,22,0
14,23,0
14,24,0
15,1,0
15,2,0
15,3,0
15,4,0
15,5,0
15,6,0
15,7,0
15,8,2994.015088568
15,9,3209.228016227
15,10,2968.703887616
15,11,2925.254167582
15,12,3361.048692471
15,13,3918.328671722
15,14,3020.873683726
15,15,3890.483990928
15,16,2331.4582289
15,17,1660.416086807
15,18,1095.83005177
15,19,1478.1484574
15,20,261.438877211
15,21,527.112184351
15,22,0
15,23,0
15,24,0
16,1,0
16,2,0
16,3,0
16,4,0
16,5,0
16,6,0
16,7,0
16,8,2120.523849094
16,9,3034.795872438
16,10,2772.39997442
16,11,2209.956947471
16,12,966.256962116
16,13,1130.484436902
16,14,1620.484229704
16,15,2022.599967017
16,16,0
16,17,0
16,18,317.738925953
16,19,0
16,20,0
16,21,0
16,22,0
16,23,0
16,24,0
17,1,0
17,2,0
17,3,0
17,4,0
17,5,0
17,6,0
17,7,0
17,8,0
17,9,254.918600977
17,10,0
17,11,0
17,12,0
17,13,0
17,14,0
17,15,0
17,16,0
17,17,0
17,18,0
17,19,0
17,20,0
17,21,0
17,22,0
17,23,0
17,24,0
18,1,0
18,2,0
18,3,0
18,4,0
18,5,0
18,6,0
18,7,0
18,8,0
18,9,0
18,10,0
18,11,0
18,12,0
18,13,0
18,14,0
18,15,0
18,16,0
18,17,0
18,18,0
18,19,0
18,20,0
18,21,0
18,22,0
18,23,0
18,24,0
