Stage,Day,Time,Scenario,Value
1,1,1,1,0
1,1,1,2,0
1,1,1,3,0
1,1,1,4,0
1,1,2,1,0
1,1,2,2,0
1,1,2,3,0
1,1,2,4,0
1,1,3,1,0
1,1,3,2,0
1,1,3,3,0
1,1,3,4,0
1,1,4,1,0
1,1,4,2,0
1,1,4,3,0
1,1,4,4,0
1,1,5,1,0
1,1,5,2,0
1,1,5,3,0
1,1,5,4,0
1,1,6,1,0
1,1,6,2,0
1,1,6,3,0
1,1,6,4,0
1,1,7,1,0
1,1,7,2,0
1,1,7,3,0
1,1,7,4,0
1,1,8,1,0
1,1,8,2,0
1,1,8,3,0
1,1,8,4,0
1,1,9,1,0
1,1,9,2,0
1,1,9,3,0
1,1,9,4,0
1,1,10,1,0
1,1,10,2,0
1,1,10,3,0
1,1,10,4,0
1,1,11,1,0
1,1,11,2,0
1,1,11,3,0
1,1,11,4,0
1,1,12,1,0
1,1,12,2,0
1,1,12,3,0
1,1,12,4,0
1,1,13,1,0
1,1,13,2,0
1,1,13,3,0
1,1,13,4,0
1,1,14,1,0
1,1,14,2,0
1,1,14,3,0
1,1,14,4,0
1,1,15,1,0
1,1,15,2,0
1,1,15,3,0
1,1,15,4,0
1,1,16,1,0
1,1,16,2,0
1,1,16,3,0
1,1,16,4,0
1,1,17,1,0
1,1,17,2,0
1,1,17,3,0
1,1,17,4,0
1,1,18,1,0
1,1,18,2,0
1,1,18,3,0
1,1,18,4,0
1,1,19,1,0
1,1,19,2,0
1,1,19,3,0
1,1,19,4,0
1,1,20,1,0
1,1,20,2,0
1,1,20,3,0
1,1,20,4,0
1,1,21,1,0
1,1,21,2,0
1,1,21,3,0
1,1,21,4,0
1,1,22,1,0
1,1,22,2,0
1,1,22,3,0
1,1,22,4,0
1,1,23,1,0
1,1,23,2,0
1,1,23,3,0
1,1,23,4,0
1,1,24,1,0
1,1,24,2,0
1,1,24,3,0
1,1,24,4,0
1,2,1,1,0
1,2,1,2,0
1,2,1,3,0
1,2,1,4,0
1,2,2,1,0
1,2,2,2,0
1,2,2,3,0
1,2,2,4,0
1,2,3,1,0
1,2,3,2,0
1,2,3,3,0
1,2,3,4,0
1,2,4,1,0
1,2,4,2,0
1,2,4,3,0
1,2,4,4,0
1,2,5,1,0
1,2,5,2,0
1,2,5,3,0
1,2,5,4,0
1,2,6,1,0
1,2,6,2,0
1,2,6,3,0
1,2,6,4,0
1,2,7,1,0
1,2,7,2,0
1,2,7,3,0
1,2,7,4,0
1,2,8,1,0
1,2,8,2,0
1,2,8,3,0
1,2,8,4,0
1,2,9,1,0
1,2,9,2,0
1,2,9,3,0
1,2,9,4,0
1,2,10,1,0
1,2,10,2,2886.59422594
1,2,10,3,0
1,2,10,4,0
1,2,11,1,2525.540174405
1,2,11,2,4859.57142666
1,2,11,3,1893.240012516
1,2,11,4,4859.57142666
1,2,12,1,3509.828713443
1,2,12,2,4709.669036386
1,2,12,3,3205.30290388
1,2,12,4,4776.509534194
1,2,13,1,1158.235032999
1,2,13,2,3668.40296712
1,2,13,3,971.547451164
1,2,13,4,3204.578015756
1,2,14,1,609.11950529
1,2,14,2,4412.197548411
1,2,14,3,1083.295457017
1,2,14,4,3940.120399442
1,2,15,1,0
1,2,15,2,0
1,2,15,3,0
1,2,15,4,1483.37652035
1,2,16,1,291.232164888
1,2,16,2,3606.425478972
1,2,16,3,154.964969764
1,2,16,4,3220.560830029
1,2,17,1,0
1,2,17,2,1193.344483297
1,2,17,3,0
