Stage,Day,Time,Scenario,Value
1,1,1,1,49.928364269
1,1,1,2,8.321394045
1,1,1,3,8.321394045
1,1,1,4,8.321394045
1,1,2,1,243.523390546
1,1,2,2,40.587231758
1,1,2,3,40.587231758
1,1,2,4,40.587231758
1,1,3,1,171.49381177
1,1,3,2,28.582301962
1,1,3,3,28.582301962
1,1,3,4,28.582301962
1,1,4,1,165.607552709
1,1,4,2,27.601258785
1,1,4,3,27.601258785
1,1,4,4,27.601258785
1,1,5,1,38.917258539
1,1,5,2,6.486209756
1,1,5,3,6.486209756
1,1,5,4,6.486209756
1,1,6,1,329.043261226
1,1,6,2,54.840543538
1,1,6,3,54.840543538
1,1,6,4,54.840543538
1,1,7,1,147.878259888
1,1,7,2,24.646376648
1,1,7,3,24.646376648
1,1,7,4,24.646376648
1,1,8,1,43.388316188
1,1,8,2,7.231386031
1,1,8,3,7.231386031
1,1,8,4,7.231386031
1,1,9,1,178.140226392
1,1,9,2,29.690037732
1,1,9,3,29.690037732
1,1,9,4,29.690037732
1,1,10,1,-4.547473509e-13
1,1,10,2,0
1,1,10,3,-4.547473509e-13
1,1,10,4,0
1,1,11,1,9.094947018e-13
1,1,11,2,0
1,1,11,3,0
1,1,11,4,0
1,1,12,1,9.094947018e-13
1,1,12,2,0
1,1,12,3,9.094947018e-13
1,1,12,4,0
1,1,13,1,6.821210263e-13
1,1,13,2,0
1,1,13,3,-4.547473509e-13
1,1,13,4,0
1,1,14,1,9.094947018e-13
1,1,14,2,0
1,1,14,3,0
1,1,14,4,0
1,1,15,1,9.094947018e-13
1,1,15,2,0
1,1,15,3,0
1,1,15,4,0
1,1,16,1,9.094947018e-13
1,1,16,2,0
1,1,16,3,0
1,1,16,4,0
1,1,17,1,9.094947018e-13
1,1,17,2,0
1,1,17,3,0
1,1,17,4,0
1,1,18,1,121.4017783
1,1,18,2,20.233629717
1,1,18,3,20.233629717
1,1,18,4,20.233629717
1,1,19,1,62.350186843
1,1,19,2,10.391697807
1,1,19,3,10.391697807
1,1,19,4,10.391697807
1,1,20,1,164.581789437
1,1,20,2,27.430298239
1,1,20,3,27.430298239
1,1,20,4,27.430298239
1,1,21,1,140.019443774
1,1,21,2,23.336573962
1,1,21,3,23.336573962
1,1,21,4,23.336573962
1,1,22,1,167.773112498
1,1,22,2,27.962185416
1,1,22,3,27.962185416
1,1,22,4,27.962185416
1,1,23,1,276.199815959
1,1,23,2,46.03330266
1,1,23,3,46.03330266
1,1,23,4,46.03330266
1,1,24,1,153.015707233
1,1,24,2,25.502617872
1,1,24,3,25.502617872
1,1,24,4,25.502617872
1,2,1,1,75.896832394
1,2,1,2,0
1,2,1,3,12.649472066
1,2,1,4,12.649472066
1,2,2,1,44.676386551
1,2,2,2,0
1,2,2,3,7.446064425
1,2,2,4,7.446064425
1,2,3,1,74.726708038
1,2,3,2,12.45445134
1,2,3,3,12.45445134
1,2,3,4,0
1,2,4,1,38.924121397
1,2,4,2,6.487353566
1,2,4,3,6.487353566
1,2,4,4,0
1,2,5,1,52.789897791
1,2,5,2,8.798316298
1,2,5,3,8.798316298
1,2,5,4,8.798316298
1,2,6,1,65.528771911
1,2,6,2,0
1,2,6,3,10.921461985
1,2,6,4,10.921461985
1,2,7,1,46.075938194
1,2,7,2,7.679323032
1,2,7,3,7.679323032
1,2,7,4,7.679323032
1,2,8,1,93.704361987
1,2,8,2,0
1,2,8,3,15.617393665
1,2,8,4,15.617393665
1,2,9,1,107.127828398
1,2,9,2,0
1,2,9,3,17.854638066
1,2,9,4,17.854638066
1,2,10,1,468.248975427
1,2,10,2,0
1,2,10,3,78.041495904
1,2,10,4,0
1,2,11,1,0
1,2,11,2,0
1,2,11,3,0
1,2,11,4,63.673619638
1,2,12,1,401.042986845
1,2,12,2,0
1,2,12,3,0
1,2,12,4,66.840497807
1,2,13,1,0
1,2,13,2,0
1,2,13,3,0
1,2,13,4,0
1,2,14,1,0
1,2,14,2,0
1,2,14,3,0
1,2,14,4,12.410526044
1,2,15,1,228.280755997
1,2,15,2,0
