Day,Time,Supplier,Value
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,2,1,0
1,2,2,0
1,2,3,0
1,2,4,0
1,2,5,0
1,2,6,0
1,3,1,0
1,3,2,0
1,3,3,0
1,3,4,0
1,3,5,0
1,3,6,0
1,4,1,0
1,4,2,0
1,4,3,0
1,4,4,0
1,4,5,0
1,4,6,0
1,5,1,0
1,5,2,0
1,5,3,0
1,5,4,0
1,5,5,0
1,5,6,0
1,6,1,0
1,6,2,0
1,6,3,0
1,6,4,0
1,6,5,0
1,6,6,0
1,7,1,0
1,7,2,0
1,7,3,0
1,7,4,0
1,7,5,0
1,7,6,0
1,8,1,0
1,8,2,0
1,8,3,0
1,8,4,0
1,8,5,0
1,8,6,0
1,9,1,0
1,9,2,0
1,9,3,0
1,9,4,0
1,9,5,0
1,9,6,0
1,10,1,185.4
1,10,2,185.4
1,10,3,185.4
1,10,4,185.4
1,10,5,185.4
1,10,6,185.4
1,11,1,370.8
1,11,2,370.8
1,11,3,370.8
1,11,4,370.8
1,11,5,370.8
1,11,6,370.8
1,12,1,556.2
1,12,2,556.2
1,12,3,556.2
1,12,4,556.2
1,12,5,556.2
1,12,6,556.2
1,13,1,741.6
1,13,2,741.6
1,13,3,741.6
1,13,4,741.6
1,13,5,741.6
1,13,6,741.6
1,14,1,927
1,14,2,927
1,14,3,927
1,14,4,927
1,14,5,927
1,14,6,927
1,15,1,1112.4
1,15,2,1112.4
1,15,3,1112.4
1,15,4,1112.4
1,15,5,1112.4
1,15,6,1112.4
1,16,1,1297.8
1,16,2,1297.8
1,16,3,1297.8
1,16,4,1297.8
1,16,5,1297.8
1,16,6,1297.8
1,17,1,1483.2
1,17,2,1483.2
1,17,3,1483.2
1,17,4,1483.2
1,17,5,1483.2
1,17,6,1483.2
1,18,1,1483.2
1,18,2,1483.2
1,18,3,1483.2
1,18,4,1483.2
1,18,5,1483.2
1,18,6,1483.2
1,19,1,1483.2
1,19,2,1483.2
1,19,3,1483.2
1,19,4,1483.2
1,19,5,1483.2
1,19,6,1483.2
1,20,1,1483.2
1,20,2,1483.2
1,20,3,1483.2
1,20,4,1483.2
1,20,5,1483.2
1,20,6,1483.2
1,21,1,1483.2
1,21,2,1483.2
1,21,3,1483.2
1,21,4,1483.2
1,21,5,1483.2
1,21,6,1483.2
1,22,1,1483.2
1,22,2,1483.2
1,22,3,1483.2
1,22,4,1483.2
1,22,5,1483.2
1,22,6,1483.2
1,23,1,1483.2
1,23,2,1483.2
1,23,3,1483.2
1,23,4,1483.2
1,23,5,1483.2
1,23,6,1483.2
1,24,1,1483.2
1,24,2,1483.2
1,24,3,1483.2
1,24,4,1483.2
1,24,5,1483.2
1,24,6,1483.2
2,1,1,1483.2
2,1,2,1483.2
2,1,3,1483.2
2,1,4,1483.2
2,1,5,1483.2
2,1,6,1483.2
2,2,1,1483.2
2,2,2,1483.2
2,2,3,1483.2
2,2,4,1483.2
2,2,5,1483.2
2,2,6,1483.2
2,3,1,1483.2
2,3,2,1483.2
2,3,3,1483.2
2,3,4,1483.2
2,3,5,1483.2
2,3,6,1483.2
2,4,1,1483.2
2,4,2,1483.2
2,4,3,1483.2
2,4,4,1483.2
2,4,5,1483.2
2,4,6,1483.2
2,5,1,1483.2
2,5,2,1483.2
2,5,3,1483.2
2,5,4,1483.2
2,5,5,1483.2
2,5,6,1483.2
2,6,1,1483.2
2,6,2,1483.2
2,6,3,1483.2
2,6,4,1483.2
2,6,5,1483.2
2,6,6,1483.2
2,7,1,1483.2
2,7,2,1483.2
2,7,3,1483.2
2,7,4,1483.2
2,7,5,1483.2
2,7,6,1483.2
2,8,1,1483.2
2,8,2,1483.2
2,8,3,1483.2
2,8,4,1483.2
2,8,5,1483.2
2,8,6,1483.2
2,9,1,1483.2
2,9,2,1483.2
2,9,3,1483.2
2,9,4,1483.2
2,9,5,1483.2
2,9,6,1483.2
2,10,1,1668.6
2,10,2,1668.6
2,10,3,1668.6
2,10,4,1668.6
2,10,5,1593.776355014
2,10,6,1668.6
2,11,1,1668.6
2,11,2,1668.6
2,11,3,1668.6
2,11,4,1668.6
2,11,5,1593.776355014
2,11,6,1668.6
2,12,1,1668.6
2,12,2,1668.6
2,12,3,1689.2
2,12,4,1854
2,12,5,1689.2
2,12,6,1668.6
2,13,1,1668.6
2,13,2,1668.6
2,13,3,1874.6
2,13,4,2039.4
2,13,5,1874.6
2,13,6,1668.6
2,14,1,1689.2
2,14,2,1668.6
2,14,3,2060
2,14,4,2060
2,14,5,2060
2,14,6,1668.6
2,15,1,1689.2
2,15,2,1668.6
2,15,3,2060
2,15,4,2060
2,15,5,2060
2,15,6,1668.6
2,16,1,1874.6
2,16,2,1668.6
2,16,3,2060
2,16,4,2060
2,16,5,2060
2,16,6,1668.6
2,17,1,2060
2,17,2,1668.6
2,17,3,2060
2,17,4,2060
2,17,5,2060
2,17,6,1668.6
2,18,1,2060
2,18,2,1668.6
2,18,3,2060
2,18,4,2060
2,18,5,2060
2,18,6,1668.6
2,19,1,2060
2,19,2,1668.6
2,19,3,2060
2,19,4,2060
2,19,5,2060
2,19,6,1668.6
2,20,1,2060
2,20,2,1668.6
2,20,3,2060
2,20,4,2060
2,20,5,2060
2,20,6,1668.6
2,21,1,2060
2,21,2,1668.6
2,21,3,2060
2,21,4,2060
2,21,5,2060
2,21,6,1668.6
2,22,1,2060
2,22,2,1668.6
2,22,3,2060
2,22,4,2060
2,22,5,2060
2,22,6,1668.6
2,23,1,2060
2,23,2,1668.6
2,23,3,2060
2,23,4,2060
2,23,5,2060
2,23,6,1668.6
2,24,1,2060
2,24,2,1668.6
2,24,3,2060
2,24,4,2060
2,24,5,2060
2,24,6,1668.6
3,1,1,2060
3,1,2,1668.6
3,1,3,2060
3,1,4,2060
3,1,5,2060
3,1,6,1668.6
3,2,1,2060
3,2,2,1668.6
3,2,3,2060
3,2,4,2060
3,2,5,2060
3,2,6,1668.6
3,3,1,2060
3,3,2,1668.6
3,3,3,2060
3,3,4,2060
3,3,5,2060
3,3,6,1668.6
3,4,1,2060
3,4,2,1668.6
3,4,3,2060
3,4,4,2060
3,4,5,2060
3,4,6,1668.6
3,5,1,2060
3,5,2,1668.6
3,5,3,2060
3,5,4,2060
3,5,5,2060
3,5,6,1668.6
3,6,1,2060
3,6,2,1668.6
3,6,3,2060
3,6,4,2060
3,6,5,2060
3,6,6,1668.6
3,7,1,2060
3,7,2,1668.6
3,7,3,2060
3,7,4,2060
3,7,5,2060
3,7,6,1668.6
3,8,1,2060
3,8,2,1668.6
3,8,3,2060
3,8,4,2060
3,8,5,2060
3,8,6,1668.6
3,9,1,2060
3,9,2,1668.6
3,9,3,2060
3,9,4,2060
3,9,5,2060
3,9,6,1668.6
3,10,1,2060
3,10,2,1668.6
3,10,3,2060
3,10,4,2060
3,10,5,2060
3,10,6,1668.6
3,11,1,2060
3,11,2,1668.6
3,11,3,2060
3,11,4,2060
3,11,5,2060
3,11,6,1668.6
3,12,1,2060
3,12,2,1668.6
3,12,3,2060
3,12,4,2060
3,12,5,2060
3,12,6,1668.6
3,13,1,2060
3,13,2,1689.2
3,13,3,2060
3,13,4,2060
3,13,5,2060
3,13,6,1798.721261642
3,14,1,2060
3,14,2,1689.2
3,14,3,2060
3,14,4,2060
3,14,5,2060
3,14,6,1798.721261642
3,15,1,2060
3,15,2,1874.6
3,15,3,2060
3,15,4,2060
3,15,5,2060
3,15,6,1874.6
3,16,1,2060
3,16,2,2060
3,16,3,2060
3,16,4,2060
3,16,5,2060
3,16,6,2060
3,17,1,2060
3,17,2,2060
3,17,3,2060
3,17,4,2060
3,17,5,2060
3,17,6,2060
3,18,1,2060
3,18,2,2060
3,18,3,2060
3,18,4,2060
3,18,5,2060
3,18,6,2060
3,19,1,2060
3,19,2,2060
3,19,3,2060
3,19,4,2060
3,19,5,2060
3,19,6,2060
3,20,1,2060
3,20,2,2060
3,20,3,2060
3,20,4,2060
3,20,5,2060
3,20,6,2060
3,21,1,2060
3,21,2,2060
3,21,3,2060
3,21,4,2060
3,21,5,2060
3,21,6,2060
3,22,1,2060
3,22,2,2060
3,22,3,2060
3,22,4,2060
3,22,5,2060
3,22,6,2060
3,23,1,2060
3,23,2,2060
3,23,3,2060
3,23,4,2060
3,23,5,2060
3,23,6,2060
3,24,1,2060
3,24,2,2060
3,24,3,2060
3,24,4,2060
3,24,5,2060
3,24,6,2060
4,1,1,2060
4,1,2,2060
4,1,3,2060
4,1,4,2060
4,1,5,2060
4,1,6,2060
4,2,1,2060
4,2,2,2060
4,2,3,2060
4,2,4,2060
4,2,5,2060
4,2,6,2060
4,3,1,2060
4,3,2,2060
4,3,3,2060
4,3,4,2060
4,3,5,2060
4,3,6,2060
4,4,1,2060
4,4,2,2060
4,4,3,2060
4,4,4,2060
4,4,5,2060
4,4,6,2060
4,5,1,2060
4,5,2,2060
4,5,3,2060
4,5,4,2060
4,5,5,2060
4,5,6,2060
4,6,1,2060
4,6,2,2060
4,6,3,2060
4,6,4,2060
4,6,5,2060
4,6,6,2060
4,7,1,2060
4,7,2,2060
4,7,3,2060
4,7,4,2060
4,7,5,2060
4,7,6,2060
4,8,1,2060
4,8,2,2060
4,8,3,2060
4,8,4,2060
4,8,5,2060
4,8,6,2060
4,9,1,2060
4,9,2,2060
4,9,3,2060
4,9,4,2060
4,9,5,2060
4,9,6,2060
4,10,1,2060
4,10,2,2060
4,10,3,2060
4,10,4,2060
4,10,5,2060
4,10,6,2060
4,11,1,2060
4,11,2,2060
4,11,3,2060
4,11,4,2060
4,11,5,2060
4,11,6,2060
4,12,1,2060
4,12,2,2060
4,12,3,2060
4,12,4,2060
4,12,5,2060
4,12,6,2060
4,13,1,2060
4,13,2,2060
4,13,3,2060
4,13,4,2060
4,13,5,2060
4,13,6,2060
4,14,1,2060
4,14,2,2060
4,14,3,2060
4,14,4,2060
4,14,5,2060
4,14,6,2060
4,15,1,2060
4,15,2,2060
4,15,3,2060
4,15,4,2060
4,15,5,2060
4,15,6,2060
4,16,1,2060
4,16,2,2060
4,16,3,2060
4,16,4,2060
4,16,5,2060
4,16,6,2060
4,17,1,2060
4,17,2,2060
4,17,3,2060
4,17,4,2060
4,17,5,2060
4,17,6,2060
4,18,1,2060
4,18,2,2060
4,18,3,2060
4,18,4,2060
4,18,5,2060
4,18,6,2060
4,19,1,2060
4,19,2,2060
4,19,3,2060
4,19,4,2060
4,19,5,2060
4,19,6,2060
4,20,1,2060
4,20,2,2060
4,20,3,2060
4,20,4,2060
4,20,5,2060
4,20,6,2060
4,21,1,2060
4,21,2,2060
4,21,3,2060
4,21,4,2060
4,21,5,2060
4,21,6,2060
4,22,1,2060
4,22,2,2060
4,22,3,2060
4,22,4,2060
4,22,5,2060
4,22,6,2060
4,23,1,2060
4,23,2,2060
4,23,3,2060
4,23,4,2060
4,23,5,2060
4,23,6,2060
4,24,1,2060
4,24,2,2060
4,24,3,2060
4,24,4,2060
4,24,5,2060
4,24,6,2060
5,1,1,2060
5,1,2,2060
5,1,3,1831.111111111
5,1,4,2060
5,1,5,1831.111111111
5,1,6,2060
5,2,1,2060
5,2,2,2060
5,2,3,1831.111111111
5,2,4,2060
5,2,5,1831.111111111
5,2,6,2060
5,3,1,2060
5,3,2,2037.111111111
5,3,3,1708.916720846
5,3,4,2060
5,3,5,1831.111111111
5,3,6,1831.111111111
5,4,1,1831.111111111
5,4,2,1808.222222222
5,4,3,1480.027831958
5,4,4,2060
5,4,5,1602.222222222
5,4,6,1602.222222222
5,5,1,1831.111111111
5,5,2,1808.222222222
5,5,3,1480.027831958
5,5,4,2060
5,5,5,1602.222222222
5,5,6,1602.222222222
5,6,1,1831.111111111
5,6,2,1808.222222222
5,6,3,1480.027831958
5,6,4,2060
5,6,5,1602.222222222
5,6,6,1602.222222222
5,7,1,1682.471993495
5,7,2,1579.333333333
5,7,3,1251.138943069
5,7,4,1831.111111111
5,7,5,1373.333333333
5,7,6,1373.333333333
5,8,1,1682.471993495
5,8,2,1579.333333333
5,8,3,1251.138943069
5,8,4,1831.111111111
5,8,5,1373.333333333
5,8,6,1373.333333333
5,9,1,1453.583104606
5,9,2,1350.444444444
5,9,3,1022.25005418
5,9,4,1602.222222222
5,9,5,1144.444444444
5,9,6,1144.444444444
5,10,1,1347.095070749
5,10,2,1121.555555556
5,10,3,1022.25005418
5,10,4,1373.333333333
5,10,5,915.555555556
5,10,6,1144.444444444
5,11,1,1118.20618186
5,11,2,892.666666667
5,11,3,793.361165291
5,11,4,1144.444444444
5,11,5,686.666666667
5,11,6,915.555555556
5,12,1,961.014224121
5,12,2,892.666666667
5,12,3,663.777777778
5,12,4,915.555555556
5,12,5,683.253965848
5,12,6,892.666666667
5,13,1,961.014224121
5,13,2,892.666666667
5,13,3,663.777777778
5,13,4,915.555555556
5,13,5,683.253965848
5,13,6,892.666666667
5,14,1,732.125335232
5,14,2,663.777777778
5,14,3,663.777777778
5,14,4,824.488995866
5,14,5,663.777777778
5,14,6,663.777777778
5,15,1,503.236446343
5,15,2,434.888888889
5,15,3,434.888888889
5,15,4,595.600106977
5,15,5,434.888888889
5,15,6,434.888888889
5,16,1,503.236446343
5,16,2,434.888888889
5,16,3,434.888888889
5,16,4,434.888888889
5,16,5,434.888888889
5,16,6,434.888888889
5,17,1,274.347557454
5,17,2,206
5,17,3,206
5,17,4,206
5,17,5,206
5,17,6,206
5,18,1,129.954106162
5,18,2,97.578947368
5,18,3,97.578947368
5,18,4,97.578947368
5,18,5,97.578947368
5,18,6,97.578947368
5,19,1,61.557208182
5,19,2,46.221606648
5,19,3,46.221606648
5,19,4,46.221606648
5,19,5,46.221606648
5,19,6,46.221606648
5,20,1,29.15867756
5,20,2,21.894445254
5,20,3,21.894445254
5,20,4,21.894445254
5,20,5,21.894445254
5,20,6,21.894445254
5,21,1,13.81200516
5,21,2,10.371053015
5,21,3,10.371053015
5,21,4,10.371053015
5,21,5,10.371053015
5,21,6,10.371053015
5,22,1,6.54252876
5,22,2,4.91260406
5,22,3,4.91260406
5,22,4,4.91260406
5,22,5,4.91260406
5,22,6,4.91260406
5,23,1,6.54252876
5,23,2,4.91260406
5,23,3,4.91260406
5,23,4,4.91260406
5,23,5,4.91260406
5,23,6,4.91260406
5,24,1,6.54252876
5,24,2,4.91260406
5,24,3,4.91260406
5,24,4,4.91260406
5,24,5,4.91260406
5,24,6,4.91260406
6,1,1,6.54252876
6,1,2,4.91260406
6,1,3,4.91260406
6,1,4,4.91260406
6,1,5,4.91260406
