Day,Time,Supplier,Value
1,1,1,0
1,1,2,40.40338099
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,2,1,0
1,2,2,58.645026683
1,2,3,0
1,2,4,0
1,2,5,0
1,2,6,0
1,3,1,0
1,3,2,128.648061705
1,3,3,0
1,3,4,0
1,3,5,0
1,3,6,0
1,4,1,0
1,4,2,170.978691514
1,4,3,0
1,4,4,0
1,4,5,0
1,4,6,0
1,5,1,0
1,5,2,183.950568772
1,5,3,0
1,5,4,0
1,5,5,0
1,5,6,0
1,6,1,0
1,6,2,196.587164065
1,6,3,0
1,6,4,0
1,6,5,0
1,6,6,0
1,7,1,0
1,7,2,203.205784942
1,7,3,0
1,7,4,0
1,7,5,0
1,7,6,0
1,8,1,0
1,8,2,222.336214842
1,8,3,0
1,8,4,0
1,8,5,0
1,8,6,0
1,9,1,0
1,9,2,271.177765776
1,9,3,0
1,9,4,0
1,9,5,0
1,9,6,0
1,10,1,919.42628497
1,10,2,453.751480806
1,10,3,950
1,10,4,0
1,10,5,0
1,10,6,0
1,11,1,1833.012593157
1,11,2,1403.751480806
1,11,3,1138.413691813
1,11,4,0
1,11,5,0
1,11,6,0
1,12,1,2783.012593157
1,12,2,1555.751480806
1,12,3,2088.413691813
1,12,4,0
1,12,5,0
1,12,6,0
1,13,1,2935.012593157
1,13,2,2505.751480806
1,13,3,3038.413691813
1,13,4,0
1,13,5,0
1,13,6,0
1,14,1,3087.012593157
1,14,2,3455.751480806
1,14,3,3988.413691813
1,14,4,0
1,14,5,0
1,14,6,1.944044925e-13
1,15,1,3239.012593157
1,15,2,4405.751480806
1,15,3,4938.413691813
1,15,4,0
1,15,5,0
1,15,6,1.944044925e-13
1,16,1,4189.012593157
1,16,2,4557.751480806
1,16,3,5888.413691813
1,16,4,0
1,16,5,0
1,16,6,1.944044925e-13
1,17,1,4341.012593157
1,17,2,5507.751480806
1,17,3,6838.413691813
1,17,4,0
1,17,5,0
1,17,6,1.944044925e-13
1,18,1,4341.012593157
1,18,2,5518.796922099
1,18,3,6838.413691813
1,18,4,0
1,18,5,0
1,18,6,1.944044925e-13
1,19,1,4341.012593157
1,19,2,5544.965287047
1,19,3,6838.413691813
1,19,4,0
1,19,5,0
1,19,6,1.944044925e-13
1,20,1,4369.368812047
1,20,2,5544.965287047
1,20,3,6838.413691813
1,20,4,0
1,20,5,0
1,20,6,1.944044925e-13
1,21,1,4440.243855568
1,21,2,5544.965287047
1,21,3,6838.413691813
1,21,4,0
1,21,5,0
1,21,6,1.944044925e-13
1,22,1,4440.243855568
1,22,2,5610.568604318
1,22,3,6838.413691813
1,22,4,0
1,22,5,0
1,22,6,1.944044925e-13
1,23,1,4472.89949185
1,23,2,5610.568604318
1,23,3,6838.413691813
1,23,4,0
1,23,5,0
1,23,6,1.944044925e-13
1,24,1,4496.747036566
1,24,2,5610.568604318
1,24,3,6838.413691813
1,24,4,0
1,24,5,0
1,24,6,1.944044925e-13
2,1,1,4496.747036566
2,1,2,5610.568604318
2,1,3,6838.413691813
2,1,4,0
2,1,5,0
2,1,6,1.944044925e-13
2,2,1,4496.747036566
2,2,2,5610.568604318
2,2,3,6838.413691813
2,2,4,0
2,2,5,0
2,2,6,1.944044925e-13
2,3,1,4496.747036566
2,3,2,5610.568604318
2,3,3,6838.413691813
2,3,4,0
2,3,5,0
2,3,6,1.944044925e-13
2,4,1,4496.747036566
2,4,2,5610.568604318
2,4,3,6895.814924176
2,4,4,0
2,4,5,0
2,4,6,1.944044925e-13
2,5,1,4496.747036566
2,5,2,5610.568604318
2,5,3,6934.182022371
2,5,4,0
2,5,5,0
2,5,6,1.944044925e-13
2,6,1,4544.367243415
2,6,2,5610.568604318
2,6,3,6934.182022371
2,6,4,0
2,6,5,0
2,6,6,1.944044925e-13
2,7,1,4589.254880907
2,7,2,5610.568604318
2,7,3,6934.182022371
2,7,4,0
2,7,5,0
2,7,6,1.944044925e-13
2,8,1,4603.304012025
2,8,2,5610.568604318
2,8,3,6934.182022371
2,8,4,0
2,8,5,0
2,8,6,1.944044925e-13
2,9,1,4611.582056622
2,9,2,5610.568604318
2,9,3,6934.182022371
2,9,4,0
2,9,5,0
2,9,6,1.944044925e-13
2,10,1,5561.582056622
2,10,2,5610.568604318
2,10,3,7884.182022371
2,10,4,0
2,10,5,0
2,10,6,1.944044925e-13
2,11,1,5561.582056622
2,11,2,5610.568604318
2,11,3,7884.182022371
2,11,4,0
2,11,5,0
2,11,6,1.944044925e-13
2,12,1,6511.582056622
2,12,2,5610.568604318
2,12,3,8834.182022371
2,12,4,0
2,12,5,0
2,12,6,1.944044925e-13
2,13,1,6511.582056622
2,13,2,5610.568604318
2,13,3,8834.182022371
2,13,4,0
2,13,5,0
2,13,6,0
2,14,1,7461.582056622
2,14,2,5610.568604318
2,14,3,8834.182022371
2,14,4,0
2,14,5,0
2,14,6,0
2,15,1,8411.582056622
2,15,2,5610.568604318
2,15,3,8834.182022371
2,15,4,0
2,15,5,0
2,15,6,0
2,16,1,9361.582056622
2,16,2,5610.568604318
2,16,3,8834.182022371
2,16,4,0
2,16,5,0
2,16,6,0
2,17,1,9762.025951518
2,17,2,5610.568604318
2,17,3,8834.182022371
2,17,4,0
2,17,5,0
2,17,6,0
2,18,1,9762.025951518
2,18,2,5610.568604318
2,18,3,8834.182022371
2,18,4,0
2,18,5,0
2,18,6,0
2,19,1,9762.025951518
2,19,2,5610.568604318
2,19,3,8834.182022371
2,19,4,0
2,19,5,0
2,19,6,0
2,20,1,9762.025951518
2,20,2,5610.568604318
2,20,3,8834.182022371
2,20,4,0
2,20,5,0
2,20,6,0
2,21,1,9762.025951518
2,21,2,5610.568604318
2,21,3,8834.182022371
2,21,4,0
2,21,5,0
2,21,6,0
2,22,1,9762.025951518
2,22,2,5610.568604318
2,22,3,8834.182022371
2,22,4,0
2,22,5,0
2,22,6,0
2,23,1,9762.025951518
2,23,2,5610.568604318
2,23,3,8834.182022371
2,23,4,0
2,23,5,0
2,23,6,0
2,24,1,9762.025951518
2,24,2,5610.568604318
2,24,3,8834.182022371
2,24,4,0
2,24,5,0
2,24,6,0
3,1,1,9762.025951518
3,1,2,5893.47072112
3,1,3,8834.182022371
3,1,4,0
3,1,5,0
3,1,6,0
3,2,1,9762.025951518
3,2,2,6145.29712343
3,2,3,8834.182022371
3,2,4,0
3,2,5,0
3,2,6,0
3,3,1,9762.025951518
3,3,2,6371.387934632
3,3,3,8834.182022371
3,3,4,0
3,3,5,0
3,3,6,0
3,4,1,9762.025951518
3,4,2,6371.387934632
3,4,3,8834.182022371
3,4,4,0
3,4,5,0
3,4,6,0
3,5,1,9762.025951518
3,5,2,6371.387934632
3,5,3,8834.182022371
3,5,4,0
3,5,5,0
3,5,6,0
3,6,1,9762.025951518
3,6,2,6371.387934632
3,6,3,8834.182022371
3,6,4,0
3,6,5,0
3,6,6,0
3,7,1,9762.025951518
3,7,2,6371.387934632
3,7,3,8834.182022371
3,7,4,0
3,7,5,0
3,7,6,0
3,8,1,9762.025951518
3,8,2,6371.387934632
3,8,3,8834.182022371
3,8,4,0
3,8,5,0
3,8,6,0
3,9,1,9762.025951518
3,9,2,6517.526338452
3,9,3,8834.182022371
3,9,4,0
3,9,5,0
3,9,6,0
3,10,1,9762.025951518
3,10,2,7273.456417221
3,10,3,8834.182022371
3,10,4,0
3,10,5,0
3,10,6,0
3,11,1,9762.025951518
3,11,2,8223.456417221
3,11,3,8834.182022371
3,11,4,0
3,11,5,0
3,11,6,0
3,12,1,9762.025951518
3,12,2,8223.456417221
3,12,3,8834.182022371
3,12,4,0
3,12,5,0
3,12,6,0
3,13,1,9762.025951518
3,13,2,8223.456417221
3,13,3,8834.182022371
3,13,4,0
3,13,5,0
3,13,6,0
3,14,1,9762.025951518
3,14,2,8736.456417221
3,14,3,8834.182022371
3,14,4,0
3,14,5,0
3,14,6,0
3,15,1,9762.025951518
3,15,2,8736.456417221
3,15,3,8834.182022371
3,15,4,0
3,15,5,-3.888089850e-13
3,15,6,0
3,16,1,9762.025951518
3,16,2,8736.456417221
3,16,3,8834.182022371
3,16,4,0
3,16,5,-3.888089850e-13
3,16,6,0
3,17,1,9762.025951518
3,17,2,8812.456417221
3,17,3,9784.182022371
3,17,4,0
3,17,5,-3.888089850e-13
3,17,6,0
3,18,1,9762.025951518
3,18,2,8812.456417221
3,18,3,9784.182022371
3,18,4,0
3,18,5,-3.888089850e-13
3,18,6,0
3,19,1,9762.025951518
3,19,2,8812.456417221
3,19,3,9784.182022371
3,19,4,0
3,19,5,0
3,19,6,0
3,20,1,9762.025951518
3,20,2,8812.456417221
3,20,3,9784.182022371
3,20,4,0
3,20,5,0
3,20,6,0
3,21,1,9762.025951518
3,21,2,8812.456417221
3,21,3,9784.182022371
3,21,4,0
3,21,5,0
3,21,6,0
3,22,1,9762.025951518
3,22,2,8812.456417221
3,22,3,9784.182022371
3,22,4,0
3,22,5,0
3,22,6,0
3,23,1,9762.025951518
3,23,2,8812.456417221
3,23,3,9784.182022371
3,23,4,0
3,23,5,0
3,23,6,0
3,24,1,9762.025951518
3,24,2,8812.456417221
3,24,3,9784.182022371
3,24,4,0
3,24,5,0
3,24,6,0
4,1,1,9762.025951518
4,1,2,8812.456417221
4,1,3,9784.182022371
4,1,4,0
4,1,5,0
4,1,6,0
4,2,1,9762.025951518
4,2,2,8812.456417221
4,2,3,9784.182022371
4,2,4,0
4,2,5,0
4,2,6,0
4,3,1,9762.025951518
4,3,2,8812.456417221
4,3,3,10000
4,3,4,0
4,3,5,0
4,3,6,0
4,4,1,9762.025951518
4,4,2,8812.456417221
4,4,3,10000
4,4,4,0
4,4,5,0
4,4,6,0
4,5,1,9762.025951518
4,5,2,8812.456417221
4,5,3,10000
4,5,4,0
4,5,5,0
4,5,6,0
4,6,1,9762.025951518
4,6,2,8812.456417221
4,6,3,10000
4,6,4,0
4,6,5,0
4,6,6,0
4,7,1,9762.025951518
4,7,2,8812.456417221
4,7,3,10000
4,7,4,0
4,7,5,0
