Stage,Day,Time,Supplier,Scenario,Value
1,1,1,1,1,0
1,1,1,1,2,6.403312718
1,1,1,1,3,0
1,1,1,1,4,6.403312718
1,1,1,2,1,0
1,1,1,2,2,0
1,1,1,2,3,0
1,1,1,2,4,0
1,1,1,3,1,0
1,1,1,3,2,0
1,1,1,3,3,0
1,1,1,3,4,0
1,1,1,4,1,0
1,1,1,4,2,0
1,1,1,4,3,0
1,1,1,4,4,0
1,1,1,5,1,0
1,1,1,5,2,0
1,1,1,5,3,0
1,1,1,5,4,0
1,1,1,6,1,38.419876305
1,1,1,6,2,0
1,1,1,6,3,6.403312718
1,1,1,6,4,0
1,1,2,1,1,0
1,1,2,1,2,6.403312718
1,1,2,1,3,0
1,1,2,1,4,37.635187555
1,1,2,2,1,0
1,1,2,2,2,0
1,1,2,2,3,0
1,1,2,2,4,0
1,1,2,3,1,0
1,1,2,3,2,31.231874838
1,1,2,3,3,0
1,1,2,3,4,0
1,1,2,4,1,0
1,1,2,4,2,0
1,1,2,4,3,0
1,1,2,4,4,0
1,1,2,5,1,0
1,1,2,5,2,0
1,1,2,5,3,0
1,1,2,5,4,0
1,1,2,6,1,225.81112533
1,1,2,6,2,0
1,1,2,6,3,37.635187555
1,1,2,6,4,0
1,1,3,1,1,0
1,1,3,1,2,6.403312718
1,1,3,1,3,0
1,1,3,1,4,59.629268915
1,1,3,2,1,0
1,1,3,2,2,0
1,1,3,2,3,0
1,1,3,2,4,0
1,1,3,3,1,0
1,1,3,3,2,53.225956197
1,1,3,3,3,0
1,1,3,3,4,0
1,1,3,4,1,131.964488157
1,1,3,4,2,0
1,1,3,4,3,0
1,1,3,4,4,0
1,1,3,5,1,0
1,1,3,5,2,0
1,1,3,5,3,0
1,1,3,5,4,0
1,1,3,6,1,225.81112533
1,1,3,6,2,0
1,1,3,6,3,59.629268915
1,1,3,6,4,0
1,1,4,1,1,0
1,1,4,1,2,6.403312718
1,1,4,1,3,0
1,1,4,1,4,80.86843755
1,1,4,2,1,0
1,1,4,2,2,21.239168635
1,1,4,2,3,0
1,1,4,2,4,0
1,1,4,3,1,0
1,1,4,3,2,53.225956197
1,1,4,3,3,0
1,1,4,3,4,0
1,1,4,4,1,259.399499967
1,1,4,4,2,0
1,1,4,4,3,0
1,1,4,4,4,0
1,1,4,5,1,0
1,1,4,5,2,0
1,1,4,5,3,0
1,1,4,5,4,0
1,1,4,6,1,225.81112533
1,1,4,6,2,0
1,1,4,6,3,80.86843755
1,1,4,6,4,0
1,1,5,1,1,0
1,1,5,1,2,6.403312718
1,1,5,1,3,0
1,1,5,1,4,85.859575957
1,1,5,2,1,0
1,1,5,2,2,21.239168635
1,1,5,2,3,0
1,1,5,2,4,0
1,1,5,3,1,0
1,1,5,3,2,58.217094605
1,1,5,3,3,0
1,1,5,3,4,0
1,1,5,4,1,259.399499967
1,1,5,4,2,0
1,1,5,4,3,0
1,1,5,4,4,0
1,1,5,5,1,0
1,1,5,5,2,1.237809855e-13
1,1,5,5,3,0
1,1,5,5,4,0
1,1,5,6,1,255.757955776
1,1,5,6,2,0
1,1,5,6,3,85.859575957
1,1,5,6,4,0
1,1,6,1,1,0
1,1,6,1,2,6.403312718
1,1,6,1,3,0
1,1,6,1,4,128.059374209
1,1,6,2,1,0
1,1,6,2,2,21.239168635
1,1,6,2,3,0
1,1,6,2,4,0
1,1,6,3,1,253.198789514
1,1,6,3,2,100.416892857
1,1,6,3,3,0
1,1,6,3,4,0
1,1,6,4,1,259.399499967
1,1,6,4,2,0
1,1,6,4,3,0
1,1,6,4,4,0
1,1,6,5,1,0
1,1,6,5,2,1.237809855e-13
1,1,6,5,3,0
1,1,6,5,4,0
1,1,6,6,1,255.757955776
1,1,6,6,2,0
1,1,6,6,3,128.059374209
1,1,6,6,4,0
1,1,7,1,1,0
1,1,7,1,2,6.403312718
1,1,7,1,3,0
1,1,7,1,4,147.02476104
1,1,7,2,1,0
1,1,7,2,2,21.239168635
1,1,7,2,3,0
1,1,7,2,4,0
1,1,7,3,1,253.198789514
1,1,7,3,2,119.382279688
1,1,7,3,3,0
1,1,7,3,4,0
1,1,7,4,1,259.399499967
1,1,7,4,2,0
1,1,7,4,3,0
1,1,7,4,4,0
1,1,7,5,1,0
1,1,7,5,2,1.237809855e-13
1,1,7,5,3,0
1,1,7,5,4,0
1,1,7,6,1,369.55027676
1,1,7,6,2,0
1,1,7,6,3,147.02476104
1,1,7,6,4,0
1,1,8,1,1,0
1,1,8,1,2,6.403312718
1,1,8,1,3,0
1,1,8,1,4,152.589312591
1,1,8,2,1,0
1,1,8,2,2,21.239168635
1,1,8,2,3,0
1,1,8,2,4,0
1,1,8,3,1,253.198789514
1,1,8,3,2,124.946831239
1,1,8,3,3,0
1,1,8,3,4,0
1,1,8,4,1,259.399499967
1,1,8,4,2,0
1,1,8,4,3,0
1,1,8,4,4,0
1,1,8,5,1,0
1,1,8,5,2,1.237809855e-13
1,1,8,5,3,0
1,1,8,5,4,0
1,1,8,6,1,402.937586067
1,1,8,6,2,0
1,1,8,6,3,152.589312591
1,1,8,6,4,0
1,1,9,1,1,0
1,1,9,1,2,6.403312718
1,1,9,1,3,0
1,1,9,1,4,175.435796626
1,1,9,2,1,0
1,1,9,2,2,21.239168635
1,1,9,2,3,0
1,1,9,2,4,0
1,1,9,3,1,253.198789514
1,1,9,3,2,147.793315273
1,1,9,3,3,0
1,1,9,3,4,0
1,1,9,4,1,259.399499967
1,1,9,4,2,0
1,1,9,4,3,0
1,1,9,4,4,0
1,1,9,5,1,0
1,1,9,5,2,1.237809855e-13
1,1,9,5,3,0
1,1,9,5,4,0
1,1,9,6,1,540.016490275
1,1,9,6,2,0
1,1,9,6,3,175.435796626
1,1,9,6,4,0
1,1,10,1,1,0
1,1,10,1,2,956.403312718
1,1,10,1,3,950
1,1,10,1,4,1125.435796626
1,1,10,2,1,836.326133815
1,1,10,2,2,686.239168635
1,1,10,2,3,0
1,1,10,2,4,950
1,1,10,3,1,1203.198789514
1,1,10,3,2,1097.793315273
1,1,10,3,3,228
1,1,10,3,4,152
1,1,10,4,1,601.073366151
1,1,10,4,2,0
1,1,10,4,3,950
1,1,10,4,4,0
1,1,10,5,1,950
1,1,10,5,2,1.237809855e-13
1,1,10,5,3,0
