Stage,Day,Time,Scenario,Value
1,1,1,1,4940.259437531
1,1,1,2,4940.259437531
1,1,1,3,4940.259437531
1,1,1,4,4940.259437531
1,1,2,1,4852.279371792
1,1,2,2,4852.279371792
1,1,2,3,4852.279371792
1,1,2,4,4852.279371792
1,1,3,1,5416.097580317
1,1,3,2,5416.097580317
1,1,3,3,5416.097580317
1,1,3,4,5416.097580317
1,1,4,1,4837.98625166
1,1,4,2,4837.98625166
1,1,4,3,4837.98625166
1,1,4,4,4837.98625166
1,1,5,1,5719.922461691
1,1,5,2,5719.922461691
1,1,5,3,5719.922461691
1,1,5,4,5719.922461691
1,1,6,1,4737.113925536
1,1,6,2,4737.113925536
1,1,6,3,4737.113925536
1,1,6,4,4737.113925536
1,1,7,1,5061.28327705
1,1,7,2,5061.28327705
1,1,7,3,5061.28327705
1,1,7,4,5061.28327705
1,1,8,1,5552.396876554
1,1,8,2,5552.396876554
1,1,8,3,5552.396876554
1,1,8,4,5552.396876554
1,1,9,1,5760.752513656
1,1,9,2,5760.752513656
1,1,9,3,5760.752513656
1,1,9,4,5760.752513656
1,1,10,1,5217.149264911
1,1,10,2,5217.149264911
1,1,10,3,5217.149264911
1,1,10,4,5217.149264911
1,1,11,1,4565.831591309
1,1,11,2,4565.831591309
1,1,11,3,4565.831591309
1,1,11,4,4565.831591309
1,1,12,1,5099.197062309
1,1,12,2,5099.197062309
1,1,12,3,5099.197062309
1,1,12,4,5099.197062309
1,1,13,1,4762.762903746
1,1,13,2,4762.762903746
1,1,13,3,4762.762903746
1,1,13,4,4762.762903746
1,1,14,1,7303.713304025
1,1,14,2,7303.713304025
1,1,14,3,7303.713304025
1,1,14,4,7303.713304025
1,1,15,1,6737.860083466
1,1,15,2,6737.860083466
1,1,15,3,6737.860083466
1,1,15,4,6737.860083466
1,1,16,1,7629.334310985
1,1,16,2,7629.334310985
1,1,16,3,7629.334310985
1,1,16,4,7629.334310985
1,1,17,1,6887.959320838
1,1,17,2,6887.959320838
1,1,17,3,6887.959320838
1,1,17,4,6887.959320838
1,1,18,1,6093.694284542
1,1,18,2,6093.694284542
1,1,18,3,6093.694284542
1,1,18,4,6093.694284542
1,1,19,1,5305.639108482
1,1,19,2,5305.639108482
1,1,19,3,5305.639108482
1,1,19,4,5305.639108482
1,1,20,1,5166.499664202
1,1,20,2,5166.499664202
1,1,20,3,5166.499664202
1,1,20,4,5166.499664202
1,1,21,1,5861.812403185
1,1,21,2,5861.812403185
1,1,21,3,5861.812403185
1,1,21,4,5861.812403185
1,1,22,1,5325.373718758
1,1,22,2,5325.373718758
1,1,22,3,5325.373718758
1,1,22,4,5325.373718758
1,1,23,1,5373.300843913
1,1,23,2,5373.300843913
1,1,23,3,5373.300843913
1,1,23,4,5373.300843913
1,1,24,1,5502.149056839
1,1,24,2,5502.149056839
1,1,24,3,5502.149056839
1,1,24,4,5502.149056839
1,2,1,1,5530.99671757
1,2,1,2,5518.347245504
1,2,1,3,5530.99671757
1,2,1,4,5530.99671757
1,2,2,1,4673.805789905
1,2,2,2,4666.35972548
1,2,2,3,4673.805789905
1,2,2,4,4673.805789905
1,2,3,1,4213.186939601
1,2,3,2,4213.186939601
1,2,3,3,4213.186939601
1,2,3,4,4200.732488261
1,2,4,1,4632.641000556
1,2,4,2,4632.641000556
1,2,4,3,4632.641000556
1,2,4,4,4626.153646989
1,2,5,1,3994.96550821
1,2,5,2,3994.96550821
1,2,5,3,3994.96550821
1,2,5,4,3994.96550821
1,2,6,1,3916.897892619
1,2,6,2,3905.976430634
1,2,6,3,3916.897892619
1,2,6,4,3916.897892619
1,2,7,1,4092.291035486
1,2,7,2,4092.291035486
1,2,7,3,4092.291035486
1,2,7,4,4092.291035486
1,2,8,1,4668.626076159
1,2,8,2,4653.008682495
1,2,8,3,4668.626076159
1,2,8,4,4668.626076159
1,2,9,1,3759.175284876
1,2,9,2,3741.32064681
1,2,9,3,3759.175284876
1,2,9,4,3759.175284876
1,2,10,1,3853.752737587
1,2,10,2,889.117015743
1,2,10,3,3853.752737587
1,2,10,4,3853.752737587
1,2,11,1,1951.989534426
1,2,11,2,0
1,2,11,3,2902.657794506
1,2,11,4,0
1,2,12,1,1266.68082075
1,2,12,2,0
1,2,12,3,1504.366132506
1,2,12,4,0
1,2,13,1,3738.316450694
1,2,13,2,1299.765304955
1,2,13,3,3996.62082091
1,2,13,4,1763.590256319
1,2,14,1,5465.215584283
1,2,14,2,1724.190171381
1,2,14,3,5053.092262775
1,2,14,4,2208.677846394
1,2,15,1,6340.985522564
1,2,15,2,6302.938729898
1,2,15,3,6340.985522564
1,2,15,4,4819.562209547
1,2,16,1,5903.4395832
1,2,16,2,2628.30208291
1,2,16,3,6079.762592118
1,2,16,4,3014.166731853
1,2,17,1,5788.097441354
1,2,17,2,4534.998898458
1,2,17,3,5788.097441354
1,2,17,4,3376.242914183
1,2,18,1,4744.505530968
1,2,18,2,4744.505530968
1,2,18,3,4744.505530968
1,2,18,4,4710.552480857
1,2,19,1,5141.733859108
1,2,19,2,5141.733859108
1,2,19,3,5141.733859108
1,2,19,4,5141.733859108
1,2,20,1,4497.9288299
1,2,20,2,4432.243436706
1,2,20,3,4497.9288299
1,2,20,4,4432.243436706
1,2,21,1,4306.814430885
1,2,21,2,4306.814430885
1,2,21,3,4306.814430885
1,2,21,4,4291.857660898
1,2,22,1,3809.508916892
1,2,22,2,3809.508916892
1,2,22,3,3809.508916892
1,2,22,4,3809.508916892
1,2,23,1,4434.719081774
1,2,23,2,4434.719081774
1,2,23,3,4434.719081774
1,2,23,4,4409.141263029
1,2,24,1,4403.245241748
1,2,24,2,4403.245241748
1,2,24,3,4403.245241748
1,2,24,4,4364.417530856
1,3,1,1,4129.718395639
1,3,1,2,4129.718395639
1,3,1,3,4129.718395639
1,3,1,4,3930.57942491
1,3,2,1,3866.313389245
1,3,2,2,3866.313389245
1,3,2,3,3866.313389245
1,3,2,4,3866.313389245
1,3,3,1,4121.659834087
1,3,3,2,3884.295348406
1,3,3,3,4121.659834087
1,3,3,4,4121.659834087
1,3,4,1,4122.065212667
1,3,4,2,4122.065212667
1,3,4,3,4122.065212667
1,3,4,4,3927.794723119
1,3,5,1,4193.188172843
1,3,5,2,3906.50177029
1,3,5,3,4193.188172843
1,3,5,4,3906.50177029
1,3,6,1,3592.953344673
1,3,6,2,3592.953344673
1,3,6,3,3592.953344673
1,3,6,4,3592.953344673
1,3,7,1,4244.466820683
1,3,7,2,4015.980012949
1,3,7,3,4244.466820683
1,3,7,4,4221.980012949
1,3,8,1,3393.286105759
1,3,8,2,3174.344653073
1,3,8,3,3393.286105759
1,3,8,4,3393.286105759
1,3,9,1,4404.872730219
1,3,9,2,4195.056479062
1,3,9,3,4404.872730219
1,3,9,4,4195.056479062
1,3,10,1,2416.174766648
1,3,10,2,0
1,3,10,3,3570.654108276
1,3,10,4,1549.089796552
1,3,11,1,1089.973274672
1,3,11,2,518.393674067
1,3,11,3,2232.484163304
1,3,11,4,0
1,3,12,1,2723.661238683
1,3,12,2,239.009005126
1,3,12,3,4766.430653912
1,3,12,4,2070.784731995
1,3,13,1,1521.920056209
1,3,13,2,0
1,3,13,3,3494.360559492
1,3,13,4,0
1,3,14,1,3829.704145453
1,3,14,2,2465.028223221
1,3,14,3,5302.037963159
1,3,14,4,4639.520143178
1,3,15,1,2625.548185546
1,3,15,2,555.664287082
1,3,15,3,3833.313740611
1,3,15,4,1063.794594391
1,3,16,1,5569.022004121
1,3,16,2,3283.855915461
1,3,16,3,5725.784215309
1,3,16,4,3336.602093075
1,3,17,1,4719.392099291
1,3,17,2,3928.75963418
1,3,17,3,4947.019508848
1,3,17,4,3879.475738571
1,3,18,1,4758.027451704
1,3,18,2,4560.047049281
1,3,18,3,4758.027451704
1,3,18,4,4560.047049281
1,3,19,1,3986.392852084
1,3,19,2,3728.751925586
1,3,19,3,3986.392852084
1,3,19,4,3934.751925586
1,3,20,1,4199.307249538
1,3,20,2,3985.33984689
1,3,20,3,4199.307249538
1,3,20,4,4008.228735779
1,3,21,1,4260.978412019
1,3,21,2,4066.82172279
1,3,21,3,4260.978412019
1,3,21,4,4260.978412019
1,3,22,1,4322.499119025
1,3,22,2,4128.019910454
1,3,22,3,4322.499119025
1,3,22,4,4322.499119025
1,3,23,1,4184.838674963
1,3,23,2,3963.103010248
1,3,23,3,4184.838674963
1,3,23,4,4184.838674963
1,3,24,1,3601.907140498
1,3,24,2,3388.11134463
1,3,24,3,3601.907140498
1,3,24,4,3388.11134463
1,4,1,1,3273.379237326
1,4,1,2,3064.467365784
1,4,1,3,3273.379237326
1,4,1,4,3064.467365784
1,4,2,1,4518.207763087
1,4,2,2,4318.577074756
1,4,2,3,4518.207763087
1,4,2,4,4318.577074756
1,4,3,1,4063.817898758
1,4,3,2,3850.192573238
1,4,3,3,4063.817898758
1,4,3,4,3850.192573238
1,4,4,1,3321.608252999
1,4,4,2,3144.917836661
1,4,4,3,3321.608252999
1,4,4,4,3321.608252999
1,4,5,1,3949.983819292
1,4,5,2,3766.783657307
1,4,5,3,3949.983819292
1,4,5,4,3949.983819292
1,4,6,1,3562.773421855
1,4,6,2,3374.292176496
1,4,6,3,3562.773421855
1,4,6,4,3562.773421855
1,4,7,1,2803.946541888
1,4,7,2,2803.946541888
1,4,7,3,2803.946541888
1,4,7,4,2803.946541888
1,4,8,1,3987.152409414
1,4,8,2,3731.071136633
1,4,8,3,3987.152409414
1,4,8,4,3987.152409414
1,4,9,1,3415.112465429
1,4,9,2,3203.24952651
1,4,9,3,3415.112465429
1,4,9,4,3315.764194274
1,4,10,1,3807.819643191
1,4,10,2,2634.237319661
1,4,10,3,3807.819643191
1,4,10,4,3711.280173077
1,4,11,1,3683.027470437
1,4,11,2,3683.027470437
1,4,11,3,3683.027470437
1,4,11,4,3395.649135704
1,4,12,1,2970.500190865
1,4,12,2,1986.843619101
1,4,12,3,2970.500190865
1,4,12,4,2329.064873526
1,4,13,1,4138.596938528
1,4,13,2,3544.849077189
1,4,13,3,4138.596938528
1,4,13,4,3838.903164888
1,4,14,1,5048.260745847
1,4,14,2,2814.598657643
1,4,14,3,5745.164295892
1,4,14,4,3375.653428826
1,4,15,1,5293.648945269
1,4,15,2,5062.941085868
1,4,15,3,5293.648945269
1,4,15,4,5062.941085868
1,4,16,1,5614.21379075
1,4,16,2,4292.723963084
1,4,16,3,5614.21379075
1,4,16,4,4627.608417572
1,4,17,1,5124.306651099
1,4,17,2,4815.902282787
1,4,17,3,5124.306651099
1,4,17,4,5124.306651099
1,4,18,1,4826.260851057
1,4,18,2,4637.39341582
1,4,18,3,4826.260851057
1,4,18,4,4826.260851057
1,4,19,1,4943.703827768
1,4,19,2,4690.944888135
1,4,19,3,4943.703827768
1,4,19,4,4943.703827768
1,4,20,1,4474.495244823
1,4,20,2,4202.465096381
1,4,20,3,4474.495244823
1,4,20,4,4474.495244823
1,4,21,1,2977.861653142
1,4,21,2,2753.131043957
1,4,21,3,2977.861653142
1,4,21,4,2977.861653142
1,4,22,1,4460.163099325
1,4,22,2,4271.24294417
1,4,22,3,4460.163099325
1,4,22,4,4460.163099325
1,4,23,1,4794.455214769
1,4,23,2,4614.499608462
1,4,23,3,4794.455214769
1,4,23,4,4637.388497351
1,4,24,1,3795.734975825
1,4,24,2,3753.792208608
1,4,24,3,3795.734975825
1,4,24,4,3795.734975825
1,5,1,1,2005.39165435
1,5,1,2,2831.756533599
1,5,1,3,3364.128494497
1,5,1,4,2378.556533599
1,5,2,1,1067.482681971
1,5,2,2,2151.012308619
1,5,2,3,3381.16885381
1,5,2,4,1739.012308619
1,5,3,1,783.312264393
1,5,3,2,2275.353576256
1,5,3,3,3596.965555699
1,5,3,4,1863.353576256
1,5,4,1,4045.134834296
1,5,4,2,2404.10535496
1,5,4,3,4045.134834296
1,5,4,4,2404.10535496
1,5,5,1,2736.960124567
1,5,5,2,2130.374109685
1,5,5,3,3223.909809288
1,5,5,4,1759.574109685
1,5,6,1,2632.995078333
1,5,6,2,1595.694523041
1,5,6,3,3330.922341478
1,5,6,4,1595.694523041
1,5,7,1,1062.533520507
1,5,7,2,2652.649142856
1,5,7,3,3533.771301707
1,5,7,4,2240.649142856
1,5,8,1,777.412604866
1,5,8,2,1429.930573687
1,5,8,3,3222.316933402
1,5,8,4,1429.930573687
1,5,9,1,3625.126903476
1,5,9,2,2906.428945518
1,5,9,3,3862.224548052
1,5,9,4,2689.586840254
1,5,10,1,3609.257530651
1,5,10,2,1214.79802977
1,5,10,3,3609.257530651
1,5,10,4,1812.310463263
1,5,11,1,3587.78089541
1,5,11,2,2268.91175365
1,5,11,3,3587.78089541
1,5,11,4,2404.019669561
1,5,12,1,3085.940904116
1,5,12,2,879.753879225
1,5,12,3,3085.940904116
1,5,12,4,1506.824911689
1,5,13,1,4513.268697236
1,5,13,2,2942.9234012
1,5,13,3,4513.268697236
1,5,13,4,3540.460202547
1,5,14,1,6528.715091228
1,5,14,2,5186.320054395
1,5,14,3,6528.715091228
1,5,14,4,5503.278567032
1,5,15,1,6311.505229033
1,5,15,2,4888.175966069
1,5,15,3,6311.505229033
1,5,15,4,5096.243648441
1,5,16,1,6000.393281216
1,5,16,2,5014.355397391
1,5,16,3,6000.393281216
1,5,16,4,5124.28654997
1,5,17,1,4935.427552976
1,5,17,2,3632.202761713
1,5,17,3,5141.101777301
1,5,17,4,3763.76016308
1,5,18,1,5321.406512286
1,5,18,2,4817.24078464
1,5,18,3,5321.406512286
1,5,18,4,4831.482163902
1,5,19,1,4690.340604669
1,5,19,2,4047.875551588
1,5,19,3,4690.340604669
1,5,19,4,4054.62146808
1,5,20,1,4337.368265174
1,5,20,2,3706.268023376
1,5,20,3,4337.368265174
1,5,20,4,3709.463457504
1,5,21,1,4484.558690687
1,5,21,2,4026.837749339
1,5,21,3,4484.558690687
1,5,21,4,4028.351376031
1,5,22,1,3624.195950804
1,5,22,2,2957.456658397
1,5,22,3,3624.195950804
1,5,22,4,2958.173639462
1,5,23,1,4087.398412296
1,5,23,2,3585.619439483
1,5,23,3,4087.398412296
1,5,23,4,3585.959062093
1,5,24,1,4032.04730709
1,5,24,2,3541.130134224
1,5,24,3,4032.04730709
1,5,24,4,3541.291008092
1,6,1,1,3753.77708788
1,6,1,2,3753.77708788
1,6,1,3,3753.77708788
1,6,1,4,3753.77708788
1,6,2,1,3628.466936606
1,6,2,2,3628.466936606
1,6,2,3,3628.466936606
1,6,2,4,3628.466936606
1,6,3,1,3661.210878989
1,6,3,2,3661.210878989
1,6,3,3,3661.210878989
1,6,3,4,3661.210878989
1,6,4,1,3577.822350893
1,6,4,2,3577.822350893
1,6,4,3,3577.822350893
