Stage,Day,Time,Scenario,Value
1,1,1,1,5985.604149646
1,1,1,2,5558.0609961
1,1,1,3,5985.604149646
1,1,1,4,5558.0609961
1,1,2,1,5266.688848073
1,1,2,2,4890.496787496
1,1,2,3,5266.688848073
1,1,2,4,4890.496787496
1,1,3,1,6059.149581883
1,1,3,2,5626.353183177
1,1,3,3,6059.149581883
1,1,3,4,5626.353183177
1,1,4,1,6620.034825003
1,1,4,2,6147.175194646
1,1,4,3,6620.034825003
1,1,4,4,6147.175194646
1,1,5,1,6801.370269604
1,1,5,2,6315.55810749
1,1,5,3,6801.370269604
1,1,5,4,6315.55810749
1,1,6,1,5233.573369363
1,1,6,2,4859.746700123
1,1,6,3,5233.573369363
1,1,6,4,4859.746700123
1,1,7,1,5185.141942286
1,1,7,2,4814.774660694
1,1,7,3,5185.141942286
1,1,7,4,4814.774660694
1,1,8,1,5915.322327213
1,1,8,2,5492.799303841
1,1,8,3,5915.322327213
1,1,8,4,5492.799303841
1,1,9,1,4518.153749449
1,1,9,2,4195.428481631
1,1,9,3,4518.153749449
1,1,9,4,4195.428481631
1,1,10,1,7875.733331065
1,1,10,2,7313.180950274
1,1,10,3,7875.733331065
1,1,10,4,7313.180950274
1,1,11,1,8246.680012029
1,1,11,2,7657.631439741
1,1,11,3,8246.680012029
1,1,11,4,7657.631439741
1,1,12,1,10678.813433649
1,1,12,2,9916.041045531
1,1,12,3,10678.813433649
1,1,12,4,9916.041045531
1,1,13,1,8797.170177357
1,1,13,2,8168.800878975
1,1,13,3,8797.170177357
1,1,13,4,8168.800878975
1,1,14,1,21578.006222696
1,1,14,2,20036.720063932
1,1,14,3,21578.006222696
1,1,14,4,20036.720063932
1,1,15,1,17927.899329557
1,1,15,2,16647.335091732
1,1,15,3,17927.899329557
1,1,15,4,16647.335091732
1,1,16,1,19295.373618745
1,1,16,2,17917.132645978
1,1,16,3,19295.373618745
1,1,16,4,17917.132645978
1,1,17,1,17351.179145623
1,1,17,2,16111.80920665
1,1,17,3,17351.179145623
1,1,17,4,16111.80920665
1,1,18,1,15610.729108421
1,1,18,2,14495.677029248
1,1,18,3,15610.729108421
1,1,18,4,14495.677029248
1,1,19,1,17376.891900082
1,1,19,2,16135.685335791
1,1,19,3,17376.891900082
1,1,19,4,16135.685335791
1,1,20,1,17179.218753237
1,1,20,2,15952.131699435
1,1,20,3,17179.218753237
1,1,20,4,15952.131699435
1,1,21,1,18027.290527944
1,1,21,2,16739.626918805
1,1,21,3,18027.290527944
1,1,21,4,16739.626918805
1,1,22,1,3991.514305193
1,1,22,2,3706.406140536
1,1,22,3,3991.514305193
1,1,22,4,3706.406140536
1,1,23,1,4541.198205725
1,1,23,2,4216.826905316
1,1,23,3,4541.198205725
1,1,23,4,4216.826905316
1,1,24,1,5926.160866875
1,1,24,2,5502.863662098
1,1,24,3,5926.160866875
1,1,24,4,5502.863662098
1,2,1,1,3741.585103529
1,2,1,2,3531.414285071
1,2,1,3,3803.061537768
1,2,1,4,3531.414285071
1,2,2,1,2442.364663171
1,2,2,2,2301.5130694
1,2,2,3,2478.552536277
1,2,2,4,2301.5130694
1,2,3,1,1728.450162552
1,2,3,2,1661.194596345
1,2,3,3,1788.978796063
1,2,3,4,1661.194596345
1,2,4,1,3157.398135437
1,2,4,2,2961.146197071
1,2,4,3,3188.926673768
1,2,4,4,2961.146197071
1,2,5,1,904.267397124
1,2,5,2,879.382413311
1,2,5,3,947.027214335
1,2,5,4,879.382413311
1,2,6,1,3637.449455903
1,2,6,2,3426.918635354
1,2,6,3,3690.52776115
1,2,6,4,3426.918635354
1,2,7,1,2218.232201358
1,2,7,2,2094.442731916
1,2,7,3,2255.553711295
1,2,7,4,2094.442731916
1,2,8,1,2799.794968452
1,2,8,2,2670.288680115
1,2,8,3,2875.695501662
1,2,8,4,2670.288680115
1,2,9,1,4183.551234326
1,2,9,2,3965.30157709
1,2,9,3,4270.324775328
1,2,9,4,3965.30157709
1,2,10,1,1883.685411364
1,2,10,2,3681.866266104
1,2,10,3,1748.099107792
1,2,10,4,3681.866266104
1,2,11,1,908.577968879
1,2,11,2,3350.822399673
1,2,11,3,1448.577968879
1,2,11,4,3350.822399673
1,2,12,1,2032.920976166
1,2,12,2,4896.283763582
1,2,12,3,2572.920976166
1,2,12,4,4896.283763582
1,2,13,1,2742.575473678
1,2,13,2,4552.391511273
1,2,13,3,2742.575473678
1,2,13,4,4552.391511273
1,2,14,1,17552.988817889
1,2,14,2,18304.918188039
1,2,14,3,18632.988817889
1,2,14,4,18304.918188039
1,2,15,1,18281.690049258
1,2,15,2,19366.795471778
1,2,15,3,20856.548969607
1,2,15,4,19366.795471778
1,2,16,1,11485.473531543
1,2,16,2,13673.653993576
1,2,16,3,13105.473531543
1,2,16,4,13673.653993576
1,2,17,1,15024.058514315
1,2,17,2,15455.197191864
1,2,17,3,16644.058514315
1,2,17,4,15455.197191864
1,2,18,1,14584.147987045
1,2,18,2,13695.64839554
1,2,18,3,14749.159810582
1,2,18,4,13695.64839554
1,2,19,1,13931.21946527
1,2,19,2,13029.083060082
1,2,19,3,14031.32021855
1,2,19,4,13029.083060082
1,2,20,1,14806.932876466
1,2,20,2,14045.723609718
1,2,20,3,15126.163887389
1,2,20,4,14045.723609718
1,2,21,1,12596.200044799
1,2,21,2,11763.969236441
1,2,21,3,12668.889946937
1,2,21,4,11763.969236441
1,2,22,1,5006.730334742
1,2,22,2,4680.71466309
1,2,22,3,5040.769637173
1,2,22,4,4680.71466309
1,2,23,1,1880.237770381
1,2,23,2,1861.364114519
1,2,23,3,2004.545969482
1,2,23,4,1861.364114519
1,2,24,1,1509.752525806
1,2,24,2,1401.913059677
1,2,24,3,1509.752525806
1,2,24,4,1401.913059677
1,3,1,1,1177.036451374
1,3,1,2,1991.648145606
1,3,1,3,2144.851849115
1,3,1,4,1991.648145606
1,3,2,1,0
1,3,2,2,234.939144715
1,3,2,3,253.011386617
1,3,2,4,234.939144715
1,3,3,1,1133.734701354
1,3,3,2,1622.517094494
1,3,3,3,1747.326101763
1,3,3,4,1622.517094494
1,3,4,1,886.935410796
1,3,4,2,1700.297847859
1,3,4,3,1831.089990002
1,3,4,4,1700.297847859
1,3,5,1,1412.507977276
1,3,5,2,1602.53218699
1,3,5,3,1725.803893682
1,3,5,4,1602.53218699
1,3,6,1,1595.273624683
1,3,6,2,2137.362092106
1,3,6,3,2301.774560729
1,3,6,4,2137.362092106
1,3,7,1,2230.562946759
1,3,7,2,2572.665593419
1,3,7,3,2770.562946759
1,3,7,4,2572.665593419
1,3,8,1,0
1,3,8,2,8.772266234
1,3,8,3,9.447055944
1,3,8,4,8.772266234
1,3,9,1,0
1,3,9,2,0.839997855
1,3,9,3,0.904613075
1,3,9,4,0.839997855
1,3,10,1,1657.688160345
1,3,10,2,4046.42472032
1,3,10,3,3117.688160345
1,3,10,4,4046.42472032
1,3,11,1,1348.131509093
1,3,11,2,3758.979258444
1,3,11,3,2428.131509093
1,3,11,4,3758.979258444
1,3,12,1,286.609620294
1,3,12,2,3274.70893313
1,3,12,3,286.609620294
1,3,12,4,3274.70893313
1,3,13,1,4527.488949767
1,3,13,2,6711.239739069
1,3,13,3,6147.488949767
1,3,13,4,6711.239739069
1,3,14,1,13669.221954796
1,3,14,2,15701.420386596
1,3,14,3,14749.221954796
1,3,14,4,15701.420386596
1,3,15,1,13104.528528853
1,3,15,2,14197.545747481
1,3,15,3,13257.416429502
1,3,15,4,14197.545747481
1,3,16,1,12234.366092566
1,3,16,2,13366.197085954
1,3,16,3,13566.64999338
1,3,16,4,13366.197085954
1,3,17,1,14210.913719437
1,3,17,2,14700.134168048
1,3,17,3,15830.913719437
1,3,17,4,14700.134168048
1,3,18,1,14100.175705274
1,3,18,2,13986.477570976
1,3,18,3,15062.360461051
1,3,18,4,13986.477570976
1,3,19,1,12926.932720606
1,3,19,2,12003.58038342
1,3,19,3,12926.932720606
1,3,19,4,12003.58038342
1,3,20,1,10318.641235721
1,3,20,2,10547.199754546
1,3,20,3,11358.522812588
1,3,20,4,10547.199754546
1,3,21,1,11388.371864162
1,3,21,2,10574.916731007
1,3,21,3,11388.371864162
1,3,21,4,10574.916731007
1,3,22,1,0
1,3,22,2,665.450714496
1,3,22,3,716.639230996
1,3,22,4,665.450714496
1,3,23,1,507.800864342
1,3,23,2,471.529374031
1,3,23,3,507.800864342
1,3,23,4,471.529374031
1,3,24,1,2956.331598133
1,3,24,2,2745.165055409
1,3,24,3,2956.331598133
1,3,24,4,2745.165055409
1,4,1,1,1217.762177901
1,4,1,2,2073.56859691
1,4,1,3,2233.073873596
1,4,1,4,2073.56859691
1,4,2,1,2512.58626236
1,4,2,2,3234.02059282
1,4,2,3,3482.791407653
1,4,2,4,3234.02059282
1,4,3,1,303.009527903
1,4,3,2,1245.426566363
1,4,3,3,1341.228609929
1,4,3,4,1245.426566363
1,4,4,1,490.878297085
1,4,4,2,1253.194169024
1,4,4,3,1349.593720487
1,4,4,4,1253.194169024
1,4,5,1,520.607819564
1,4,5,2,1310.177706323
1,4,5,3,1410.96060681
1,4,5,4,1310.177706323
1,4,6,1,0
1,4,6,2,761.765810018
1,4,6,3,820.363180019
1,4,6,4,761.765810018
1,4,7,1,73.610153979
1,4,7,2,1022.072300819
1,4,7,3,1100.693247035
1,4,7,4,1022.072300819
1,4,8,1,0
1,4,8,2,169.769509449
1,4,8,3,182.828702483
1,4,8,4,169.769509449
1,4,9,1,2169.545295373
1,4,9,2,2516.006345704
1,4,9,3,2709.545295373
1,4,9,4,2516.006345704
1,4,10,1,3295.621688416
1,4,10,2,3700.803503574
1,4,10,3,3985.480696156
1,4,10,4,3700.803503574
1,4,11,1,3257.353201801
1,4,11,2,3865.793265745
1,4,11,3,4163.161978494
1,4,11,4,3865.793265745
1,4,12,1,742.189479238
1,4,12,2,2489.848611181
1,4,12,3,1794.766192007
1,4,12,4,2489.848611181
1,4,13,1,4177.62380429
1,4,13,2,4380.650675412
1,4,13,3,4717.62380429
1,4,13,4,4380.650675412
1,4,14,1,15463.916955505
1,4,14,2,16439.351458683
1,4,14,3,17703.916955505
1,4,14,4,16439.351458683
1,4,15,1,12976.085944429
1,4,15,2,12892.833767874
1,4,15,3,13884.590211556
1,4,15,4,12892.833767874
1,4,16,1,13514.641771172
1,4,16,2,13587.336363208
1,4,16,3,14425.99466773
1,4,16,4,13587.336363208
1,4,17,1,16785.31286313
1,4,17,2,15586.361944335
1,4,17,3,16785.31286313
1,4,17,4,15586.361944335
1,4,18,1,13908.848490873
1,4,18,2,13266.262495687
1,4,18,3,14286.744226124
1,4,18,4,13266.262495687
1,4,19,1,13936.373865169
1,4,19,2,13442.347160514
1,4,19,3,14271.639124066
1,4,19,4,13442.347160514
1,4,20,1,12151.814614514
1,4,20,2,12286.684999191
1,4,20,3,13231.814614514
1,4,20,4,12286.684999191
1,4,21,1,11891.990807378
1,4,21,2,12045.420035422
1,4,21,3,12971.990807378
1,4,21,4,12045.420035422
1,4,22,1,1976.347652556
1,4,22,2,1835.179963087
1,4,22,3,1976.347652556
1,4,22,4,1835.179963087
1,4,23,1,435.342131885
1,4,23,2,404.246265322
1,4,23,3,289.578090777
1,4,23,4,404.246265322
1,4,24,1,0
1,4,24,2,220.502575421
1,4,24,3,237.464311991
1,4,24,4,220.502575421
1,5,1,1,0
1,5,1,2,0
1,5,1,3,0
1,5,1,4,0
1,5,2,1,0
1,5,2,2,0
1,5,2,3,0
1,5,2,4,0
1,5,3,1,0
1,5,3,2,0
1,5,3,3,0
1,5,3,4,0
1,5,4,1,0
1,5,4,2,0
1,5,4,3,0
1,5,4,4,0
1,5,5,1,0
1,5,5,2,0
1,5,5,3,0
1,5,5,4,0
1,5,6,1,0
1,5,6,2,0
1,5,6,3,0
1,5,6,4,0
1,5,7,1,0
1,5,7,2,0
1,5,7,3,0
1,5,7,4,0
1,5,8,1,0
1,5,8,2,0
1,5,8,3,0
1,5,8,4,0
1,5,9,1,0
1,5,9,2,-1.136868377e-13
1,5,9,3,0
1,5,9,4,275.740569339
1,5,10,1,0
1,5,10,2,0
1,5,10,3,0
1,5,10,4,0
1,5,11,1,0
1,5,11,2,1885.767488941
1,5,11,3,0
1,5,11,4,1885.767488941
1,5,12,1,0
1,5,12,2,1514.529721553
1,5,12,3,0
1,5,12,4,1514.529721553
1,5,13,1,0
1,5,13,2,1868.177350376
1,5,13,3,0
1,5,13,4,2868.177350376
1,5,14,1,9148.644273205
1,5,14,2,14075.169682262
1,5,14,3,10622.814240922
1,5,14,4,15075.169682262
1,5,15,1,4236.511889673
1,5,15,2,10947.613321304
1,5,15,3,5408.594020555
1,5,15,4,10026.724410374
1,5,16,1,3981.610215648
1,5,16,2,11514.144846248
1,5,16,3,5449.466564312
1,5,16,4,10819.349123987
1,5,17,1,6679.546230535
1,5,17,2,14410.686345637
1,5,17,3,7617.776990933
1,5,17,4,14072.196121972
1,5,18,1,3793.117709804
1,5,18,2,11921.072029063
1,5,18,3,5641.804060311
1,5,18,4,11756.166535482
1,5,19,1,3298.034521
1,5,19,2,11554.228182337
1,5,19,3,7832.645735768
1,5,19,4,11473.889608541
1,5,20,1,1780.033387874
1,5,20,2,10189.903108913
1,5,20,3,8476.283330328
1,5,20,4,10150.763803731
1,5,21,1,3729.002814153
1,5,21,2,10880.454601968
1,5,21,3,10381.966375398
1,5,21,4,10861.386735341
1,5,22,1,0
1,5,22,2,678.791531204
1,5,22,3,0
1,5,22,4,669.502057719
1,5,23,1,0
1,5,23,2,1597.011431145
1,5,23,3,943.438639065
1,5,23,4,1592.485790216
1,5,24,1,0
1,5,24,2,504.79948632
1,5,24,3,0
1,5,24,4,502.594686893
1,6,1,1,1240.958850415
1,6,1,2,1152.318932528
1,6,1,3,1240.958850415
1,6,1,4,1152.318932528
1,6,2,1,1137.646623957
1,6,2,2,1056.386150817
1,6,2,3,1137.646623957
1,6,2,4,1056.386150817
1,6,3,1,947.978469492
1,6,3,2,880.265721671
1,6,3,3,947.978469492
1,6,3,4,880.265721671
1,6,4,1,1005.930247091
1,6,4,2,934.078086585
1,6,4,3,1005.930247091
1,6,4,4,934.078086585
1,6,5,1,557.77373568
1,6,5,2,517.93275456
